    # BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
    # 1)the baryon density $\Omega_b h^2$ and
    # 2)the number of extra relativistic degrees of freedom $\Delta N$
    #
    # $\Delta N=0$ is the number of extra relativistic species (which mimic decoupled neutrinos).
    # If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neutrino decoupling (arXiv:2008.01074).
    #
    # Computation performed with PRIMAT (Python port by Cyril Pitrou 2018-2026)
    # Details on arXiv:1801.08023 and update arXiv:2011.11320
    # Last update 2026 (notably including the LUNA rate for the d(p,g)He3 reaction)
    #
    # Neutron Decay rate $\tau_n$ is 878.4s (+-0.5s), following Particle Data Group 2026
    # CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
    #
    # He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
    # He4 is also provided as $Y_P = Y_{He4} * m_{He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$
    # where $m_{He4}=4.0026032541$ and $m_H1=1.00782503223$ are atomic masses.
    #
    # Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
    #
    # eta10 is $10^{10} eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
    # Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better.
    #
    # Errors are computed with a Monte-Carlo method on 1000 samples, varying nuclear rates and tau_n.
    # See PRIMAT paper (2018) for details.
    #
    # Ombh2       eta10       DeltaN          Yp              Yp^BBN          sig(Yp^BBN)     D/H             sig(D/H)
  0.020800    5.69397     -2.000000       0.213667        0.214870        0.000104951     2.011441e-05    2.339791e-07
  0.021000    5.74872     -2.000000       0.213760        0.214963        0.0001048378    1.979398e-05    2.318539e-07
  0.021200    5.80347     -2.000000       0.213851        0.215054        0.0001048324    1.948072e-05    2.297752e-07
  0.021400    5.85822     -2.000000       0.213941        0.215145        0.0001047796    1.917466e-05    2.277408e-07
  0.021600    5.91297     -2.000000       0.214030        0.215234        0.0001048747    1.887534e-05    2.257506e-07
  0.021800    5.96772     -2.000000       0.214119        0.215324        0.0001048706    1.858279e-05    2.238015e-07
  0.022000    6.02246     -2.000000       0.214207        0.215412        0.0001047247    1.829658e-05    2.218932e-07
  0.022200    6.07721     -2.000000       0.214293        0.215498        0.0001047973    1.801664e-05    2.200243e-07
  0.022400    6.13196     -2.000000       0.214378        0.215584        0.0001048937    1.774272e-05    2.181904e-07
  0.022600    6.18671     -2.000000       0.214464        0.215670        0.0001047671    1.747467e-05    2.163952e-07
  0.022800    6.24146     -2.000000       0.214548        0.215754        0.0001047827    1.72123e-05     2.146347e-07
  0.023000    6.29621     -2.000000       0.214631        0.215838        0.0001047524    1.695551e-05    2.129068e-07
  0.023200    6.35096     -2.000000       0.214714        0.215921        0.0001047354    1.670408e-05    2.112113e-07
  0.023400    6.40571     -2.000000       0.214795        0.216003        0.0001047858    1.645771e-05    2.095473e-07
  0.023600    6.46046     -2.000000       0.214876        0.216084        0.0001047447    1.621653e-05    2.079149e-07
  0.023800    6.51521     -2.000000       0.214956        0.216164        0.000104722     1.598011e-05    2.063119e-07
  0.024000    6.56996     -2.000000       0.215035        0.216244        0.0001047544    1.574859e-05    2.047357e-07
  0.025000    6.84371     -2.000000       0.215421        0.216631        0.0001046373    1.465765e-05    1.972573e-07
  0.026000    7.11746     -2.000000       0.215790        0.217001        0.000104602     1.366777e-05    1.903653e-07
  0.027000    7.39121     -2.000000       0.216144        0.217356        0.0001045705    1.276633e-05    1.839799e-07
  0.028000    7.66496     -2.000000       0.216482        0.217697        0.0001045302    1.194272e-05    1.780255e-07
  0.029000    7.9387      -2.000000       0.216809        0.218024        0.0001045035    1.11881e-05     1.724474e-07
  0.030000    8.21245     -2.000000       0.217123        0.218340        0.0001044277    1.049474e-05    1.671968e-07
  0.031000    8.4862      -2.000000       0.217426        0.218644        0.0001044148    9.856004e-06    1.622329e-07
  0.032000    8.75995     -2.000000       0.217718        0.218937        0.0001044392    9.266331e-06    1.575239e-07
  0.033000    9.0337      -2.000000       0.218001        0.219221        0.0001043958    8.720784e-06    1.530389e-07
  0.034000    9.30745     -2.000000       0.218275        0.219496        0.0001043472    8.215057e-06    1.487525e-07
  0.035000    9.58119     -2.000000       0.218539        0.219762        0.0001043405    7.74533e-06     1.446474e-07
  0.036000    9.85494     -2.000000       0.218797        0.220020        0.0001042817    7.308422e-06    1.407028e-07
  0.037000    10.1287     -2.000000       0.219047        0.220271        0.0001043219    6.901311e-06    1.369045e-07
  0.038000    10.4024     -2.000000       0.219289        0.220515        0.0001042744    6.52148e-06     1.332408e-07
  0.039000    10.6762     -2.000000       0.219525        0.220751        0.0001041829    6.166528e-06    1.296995e-07
  0.040000    10.9499     -2.000000       0.219754        0.220982        0.0001041575    5.834467e-06    1.262709e-07
  0.005000    1.36874     -1.500000       0.205429        0.206597        0.0001118485    0.0002120238    1.604812e-06
  0.006000    1.64249     -1.500000       0.208263        0.209443        0.0001098182    0.0001578699    1.21356e-06
  0.007000    1.91624     -1.500000       0.210427        0.211616        0.0001086924    0.0001233038    9.622992e-07
  0.008000    2.18999     -1.500000       0.212165        0.213362        0.0001079822    9.973582e-05    7.912181e-07
  0.009000    2.46374     -1.500000       0.213613        0.214816        0.0001075181    8.283302e-05    6.691731e-07
  0.010000    2.73748     -1.500000       0.214853        0.216060        0.0001071223    7.021835e-05    5.787909e-07
  0.011000    3.01123     -1.500000       0.215935        0.217147        0.0001069613    6.049944e-05    5.097965e-07
  0.012000    3.28498     -1.500000       0.216894        0.218110        0.0001066753    5.281424e-05    4.557918e-07
  0.013000    3.55873     -1.500000       0.217756        0.218975        0.0001065581    4.66048e-05     4.126019e-07
  0.014000    3.83248     -1.500000       0.218537        0.219760        0.0001063637    4.149612e-05    3.774273e-07
  0.015000    4.10623     -1.500000       0.219253        0.220478        0.000106292     3.722783e-05    3.483243e-07
  0.016000    4.37997     -1.500000       0.219913        0.221141        0.0001061671    3.361458e-05    3.239076e-07
  0.017000    4.65372     -1.500000       0.220524        0.221754        0.0001060765    3.052051e-05    3.031623e-07
  0.018000    4.92747     -1.500000       0.221094        0.222326        0.0001059339    2.784469e-05    2.853304e-07
  0.019000    5.20122     -1.500000       0.221628        0.222863        0.0001058359    2.551034e-05    2.698473e-07
  0.020000    5.47497     -1.500000       0.222130        0.223367        0.0001058728    2.345805e-05    2.562694e-07
  0.020200    5.52972     -1.500000       0.222226        0.223464        0.0001058635    2.30772e-05     2.537523e-07
  0.020400    5.58447     -1.500000       0.222322        0.223560        0.000105818     2.270539e-05    2.512945e-07
  0.020600    5.63922     -1.500000       0.222417        0.223655        0.0001057996    2.234237e-05    2.488924e-07
  0.020800    5.69397     -1.500000       0.222510        0.223749        0.0001057807    2.198786e-05    2.465475e-07
  0.021000    5.74872     -1.500000       0.222603        0.223842        0.0001057565    2.164152e-05    2.442583e-07
  0.021200    5.80347     -1.500000       0.222695        0.223934        0.0001057567    2.130308e-05    2.420191e-07
  0.021400    5.85822     -1.500000       0.222786        0.224025        0.0001057957    2.097235e-05    2.398299e-07
  0.021600    5.91297     -1.500000       0.222875        0.224115        0.0001057312    2.064901e-05    2.376898e-07
  0.021800    5.96772     -1.500000       0.222964        0.224204        0.0001057523    2.033286e-05    2.355936e-07
  0.022000    6.02246     -1.500000       0.223052        0.224292        0.0001057219    2.002371e-05    2.335421e-07
