reaction,Q_keV,alpha,beta,gamma
Li9pTOHe6a,12226.9,1.8556823,0,-141.88688
Li9pTOLi7t,2386.97,0.28176254,0,-27.699581
Li9tTOBe11n,11656.2,7.6628292,0,-135.26496
Li9tTOBe12g,14826.9,2.6881087e+11,1.5,-172.05927
N12aTOO15p,9618.44,4.2576249,0,-111.61742
N12nTOC11d,1624.3,0.20213806,0,-18.849163
N12nTOC12p,18120.4,3.0129978,0,-210.27906
N12nTON13g,20063.9,2.6641223e+10,1.5,-232.83233
N12pTOO13g,1512.07,1.3264753e+10,1.5,-17.546856
N13aTOF17g,5818.7,1.7616069e+10,1.5,-67.523162
N13nTOC12d,281.075,0.53337351,0,-3.2617423
N13nTOC13p,3002.82,1.0022806,0,-34.846253
N13nTON14g,10553.4,1.1930598e+10,1.5,-122.4669
N13pTOO14g,4626.67,3.5698887e+10,1.5,-53.690277
N14aTOF18g,4415.23,5.4197217e+10,1.5,-51.236648
N14nTOC14p,625.871,3.0059743,0,-7.2629295
N14nTON15g,10833.3,2.7050328e+10,1.5,-125.71519
N14pTOO15g,7296.79,2.6987993e+10,1.5,-84.675707
N15aTOF19g,4013.8,5.5418281e+10,1.5,-46.578204
N15nTON16g,2488.86,7.2554184e+09,1.5,-28.881977
N15pTOC12a,4965.49,0.70604024,0,-57.622157
N15pTOO16g,12127.4,3.6242075e+10,1.5,-140.73276
Na20nTOF17a,10545.2,0.26925106,0,-122.37199
Ne18nTOF18p,5226.85,0.33414036,0,-60.655041
Ne18nTOO15a,8108.4,0.16638821,0,-94.094101
Ne19nTOF19p,4021.84,1.0023002,0,-46.67154
Ne19nTOO16a,12135.5,0.65547753,0,-140.8261
Ne19pTONa20g,2190.52,7.387222e+09,1.5,-25.419941
O14aTOF17p,1192.03,0.49346269,0,-13.832885
O14aTONe18g,5115.1,5.4207024e+10,1.5,-59.358234
O14nTOC11a,3004.78,0.090797105,0,-34.869061
O14nTOC12He3,1147.88,0.24406119,0,-13.320597
O14nTON14p,5926.71,0.33420083,0,-68.776628
O14nTOO15g,13223.5,9.0194096e+09,1.5,-153.45233
O15aTONe19g,3528.47,5.541881e+10,1.5,-40.946146
O15nTOC12a,8502,0.70767101,0,-98.661639
O15nTON15p,3536.51,1.0023097,0,-41.039482
O15nTOO16g,15663.9,3.6325784e+10,1.5,-181.77225
O16aTONe20g,4729.85,5.6527366e+10,1.5,-54.887583
O16nTOO17g,4143.08,3.0413799e+09,1.5,-48.078449
O16pTOF17g,600.269,3.0344554e+09,1.5,-6.9658321
O16pTON13a,-5218.43,0.17225497,0,60.55733
O17aTONe20n,586.766,18.586092,0,-6.809134
O17aTONe21g,7347.93,8.6333617e+10,1.5,-85.269206
O17nTOC14a,1817.75,2.0311807,0,-21.094055
O17nTOO18g,8045.37,1.1010407e+11,1.5,-93.362644
O17pTOF18g,5607.11,3.6621849e+10,1.5,-65.067773
O17pTON14a,1191.87,0.67571458,0,-13.831126
O18aTONe22g,9666.82,5.8490817e+10,1.5,-112.17874
O18nTOO19g,3955.6,3.0716047e+09,1.5,-45.902853
O18pTOF19g,7993.6,9.1999509e+09,1.5,-92.761874
O18pTON15a,3979.8,0.16600931,0,-46.18367
O19aTONe22n,5711.21,19.04243,0,-66.275884
O19aTONe23g,10911.9,5.9348204e+10,1.5,-126.62695
O19nTOO20g,7608.02,1.1107563e+11,1.5,-88.287384
O19pTOF19n,4038,2.995161,0,-46.859022
O19pTOF20g,10639.3,2.2176993e+10,1.5,-123.46434
O19pTON16a,2513.06,0.39212957,0,-29.162795
aaaTOC12gg,7274.75,2.0033643e+20,3,-84.41994
aanTOBe9g,1572.7,5.8430974e+19,3,-18.250424
