# Source: primat qed_pressure.py — QED plasma-pressure correction delta_P_a(T)
# delta_P_a: O(e^2), one-loop (Frenkel-Galitskii-Migdal)
# Reference: Pitrou et al., Phys. Rep. (2018), eq. 47; PRIMAT-Main.m: dPa
# T [MeV]       dP_a [MeV^4]      d(dP_a)/dT [MeV^3]  d2(dP_a)/dT2 [MeV^2]
1.970558E-01 -4.087649E-07 -1.294914E-05 -3.179707E-04
2.016551E-01 -4.717753E-07 -1.447029E-05 -3.434943E-04
2.063618E-01 -5.437873E-07 -1.615099E-05 -3.706811E-04
2.111783E-01 -6.259905E-07 -1.800606E-05 -3.996154E-04
2.161073E-01 -7.197203E-07 -2.005158E-05 -4.303849E-04
2.211512E-01 -8.264737E-07 -2.230489E-05 -4.630808E-04
2.263130E-01 -9.479285E-07 -2.478478E-05 -4.977979E-04
2.315951E-01 -1.085962E-06 -2.751154E-05 -5.346351E-04
2.370006E-01 -1.242677E-06 -3.050707E-05 -5.736951E-04
2.425323E-01 -1.420419E-06 -3.379502E-05 -6.150851E-04
2.481930E-01 -1.621813E-06 -3.740093E-05 -6.589166E-04
2.539859E-01 -1.849788E-06 -4.135231E-05 -7.053060E-04
2.599140E-01 -2.107608E-06 -4.567887E-05 -7.543746E-04
2.659804E-01 -2.398916E-06 -5.041259E-05 -8.062487E-04
2.721885E-01 -2.727768E-06 -5.558795E-05 -8.610605E-04
2.785414E-01 -3.098680E-06 -6.124209E-05 -9.189476E-04
2.850426E-01 -3.516679E-06 -6.741500E-05 -9.800540E-04
2.916956E-01 -3.987353E-06 -7.414973E-05 -1.044530E-03
2.985038E-01 -4.516915E-06 -8.149262E-05 -1.112532E-03
3.054710E-01 -5.112267E-06 -8.949354E-05 -1.184224E-03
3.126007E-01 -5.781074E-06 -9.820611E-05 -1.259778E-03
3.198969E-01 -6.531840E-06 -1.076880E-04 -1.339374E-03
3.273634E-01 -7.374001E-06 -1.180013E-04 -1.423198E-03
3.350041E-01 -8.318020E-06 -1.292128E-04 -1.511446E-03
3.428231E-01 -9.375492E-06 -1.413940E-04 -1.604325E-03
3.508247E-01 -1.055927E-05 -1.546220E-04 -1.702048E-03
3.590130E-01 -1.188357E-05 -1.689798E-04 -1.804841E-03
3.673925E-01 -1.336416E-05 -1.845563E-04 -1.912938E-03
3.759675E-01 -1.501845E-05 -2.014470E-04 -2.026587E-03
3.847427E-01 -1.686574E-05 -2.197548E-04 -2.146044E-03
3.937226E-01 -1.892735E-05 -2.395899E-04 -2.271581E-03
4.029122E-01 -2.122685E-05 -2.610708E-04 -2.403479E-03
4.123163E-01 -2.379029E-05 -2.843247E-04 -2.542035E-03
4.219398E-01 -2.664646E-05 -3.094883E-04 -2.687560E-03
4.317880E-01 -2.982716E-05 -3.367083E-04 -2.840377E-03
4.418660E-01 -3.336747E-05 -3.661422E-04 -3.000827E-03
4.521792E-01 -3.730616E-05 -3.979591E-04 -3.169266E-03
4.627332E-01 -4.168599E-05 -4.323404E-04 -3.346069E-03
4.735335E-01 -4.655415E-05 -4.694809E-04 -3.531625E-03
4.845859E-01 -5.196270E-05 -5.095898E-04 -3.726344E-03
4.958962E-01 -5.796903E-05 -5.528914E-04 -3.930656E-03
5.074705E-01 -6.463645E-05 -5.996266E-04 -4.145009E-03
5.193150E-01 -7.203472E-05 -6.500538E-04 -4.369875E-03
5.314359E-01 -8.024075E-05 -7.044502E-04 -4.605745E-03
5.438397E-01 -8.933928E-05 -7.631133E-04 -4.853138E-03
5.565331E-01 -9.942367E-05 -8.263625E-04 -5.112593E-03
5.695227E-01 -1.105968E-04 -8.945402E-04 -5.384678E-03
5.828155E-01 -1.229718E-04 -9.680138E-04 -5.669985E-03
5.964185E-01 -1.366736E-04 -1.047177E-03 -5.969137E-03
6.103390E-01 -1.518393E-04 -1.132454E-03 -6.282784E-03
6.245845E-01 -1.686202E-04 -1.224297E-03 -6.611609E-03
6.391624E-01 -1.871827E-04 -1.323194E-03 -6.956325E-03
6.540806E-01 -2.077098E-04 -1.429665E-03 -7.317682E-03
6.693470E-01 -2.304031E-04 -1.544270E-03 -7.696463E-03
6.849697E-01 -2.554842E-04 -1.667611E-03 -8.093487E-03
7.009570E-01 -2.831969E-04 -1.800331E-03 -8.509616E-03
7.173175E-01 -3.138095E-04 -1.943120E-03 -8.945749E-03
7.340598E-01 -3.476170E-04 -2.096719E-03 -9.402830E-03
7.511929E-01 -3.849438E-04 -2.261923E-03 -9.881845E-03
7.687260E-01 -4.261467E-04 -2.439582E-03 -1.038383E-02
7.866682E-01 -4.716179E-04 -2.630610E-03 -1.090987E-02
8.050292E-01 -5.217885E-04 -2.835986E-03 -1.146109E-02
8.238187E-01 -5.771325E-04 -3.056761E-03 -1.203869E-02
8.430468E-01 -6.381710E-04 -3.294061E-03 -1.264391E-02
8.627237E-01 -7.054766E-04 -3.549093E-03 -1.327805E-02
8.828599E-01 -7.796784E-04 -3.823151E-03 -1.394247E-02
9.034660E-01 -8.614682E-04 -4.117624E-03 -1.463862E-02
9.245531E-01 -9.516056E-04 -4.434000E-03 -1.536798E-02
9.461324E-01 -1.050925E-03 -4.773875E-03 -1.613212E-02
9.682153E-01 -1.160345E-03 -5.138958E-03 -1.693268E-02
9.908137E-01 -1.280872E-03 -5.531086E-03 -1.777138E-02
1.013939E+00 -1.413613E-03 -5.952223E-03 -1.865003E-02
1.037605E+00 -1.559785E-03 -6.404478E-03 -1.957050E-02
1.061823E+00 -1.720721E-03 -6.890111E-03 -2.053478E-02
1.086606E+00 -1.897890E-03 -7.411546E-03 -2.154493E-02
1.111968E+00 -2.092901E-03 -7.971378E-03 -2.260312E-02
1.137921E+00 -2.307523E-03 -8.572394E-03 -2.371161E-02
1.164481E+00 -2.543700E-03 -9.217579E-03 -2.487278E-02
1.191660E+00 -2.803563E-03 -9.910131E-03 -2.608912E-02
1.219473E+00 -3.089455E-03 -1.065348E-02 -2.736323E-02
1.247936E+00 -3.403947E-03 -1.145131E-02 -2.869784E-02
1.277063E+00 -3.749861E-03 -1.230755E-02 -3.009581E-02
1.306870E+00 -4.130298E-03 -1.322644E-02 -3.156013E-02
1.337373E+00 -4.548659E-03 -1.421250E-02 -3.309393E-02
1.368587E+00 -5.008679E-03 -1.527059E-02 -3.470049E-02
1.400531E+00 -5.514459E-03 -1.640590E-02 -3.638326E-02
1.433219E+00 -6.070499E-03 -1.762403E-02 -3.814582E-02
1.466671E+00 -6.681739E-03 -1.893095E-02 -3.999195E-02
1.500903E+00 -7.353601E-03 -2.033307E-02 -4.192559E-02
1.535935E+00 -8.092037E-03 -2.183725E-02 -4.395087E-02
1.571784E+00 -8.903578E-03 -2.345087E-02 -4.607213E-02
1.608469E+00 -9.795392E-03 -2.518182E-02 -4.829389E-02
1.646012E+00 -1.077535E-02 -2.703855E-02 -5.062091E-02
1.684430E+00 -1.185208E-02 -2.903013E-02 -5.305814E-02
1.723745E+00 -1.303506E-02 -3.116629E-02 -5.561080E-02
1.763977E+00 -1.433469E-02 -3.345744E-02 -5.828435E-02
1.805149E+00 -1.576237E-02 -3.591474E-02 -6.108447E-02
1.847281E+00 -1.733064E-02 -3.855017E-02 -6.401716E-02
1.890397E+00 -1.905322E-02 -4.137654E-02 -6.708868E-02
1.934520E+00 -2.094520E-02 -4.440762E-02 -7.030558E-02
1.979672E+00 -2.302310E-02 -4.765812E-02 -7.367472E-02
2.025878E+00 -2.530510E-02 -5.114385E-02 -7.720330E-02
2.073162E+00 -2.781109E-02 -5.488174E-02 -8.089885E-02
2.121550E+00 -3.056292E-02 -5.888992E-02 -8.476925E-02
2.171068E+00 -3.358458E-02 -6.318783E-02 -8.882275E-02
2.221741E+00 -3.690237E-02 -6.779632E-02 -9.306801E-02
2.273597E+00 -4.054513E-02 -7.273773E-02 -9.751409E-02
2.326663E+00 -4.454454E-02 -7.803598E-02 -1.021705E-01
2.380968E+00 -4.893531E-02 -8.371674E-02 -1.070470E-01
2.436540E+00 -5.375557E-02 -8.980750E-02 -1.121543E-01
2.493409E+00 -5.904711E-02 -9.633773E-02 -1.175030E-01
2.551606E+00 -6.485579E-02 -1.033390E-01 -1.231047E-01
2.611161E+00 -7.123193E-02 -1.108452E-01 -1.289712E-01
2.672106E+00 -7.823072E-02 -1.188926E-01 -1.351151E-01
2.734474E+00 -8.591270E-02 -1.275200E-01 -1.415495E-01
2.798297E+00 -9.434431E-02 -1.367692E-01 -1.482880E-01
2.863610E+00 -1.035984E-01 -1.466848E-01 -1.553452E-01
2.930447E+00 -1.137549E-01 -1.573146E-01 -1.627359E-01
2.998844E+00 -1.249015E-01 -1.687100E-01 -1.704760E-01
3.068838E+00 -1.371343E-01 -1.809259E-01 -1.785819E-01
3.140465E+00 -1.505589E-01 -1.940213E-01 -1.870710E-01
